Weeks,Artist(s),Song
49,Sabrina Carpenter,Espresso
43,Billie Eilish,BIRDS OF A FEATHER
42,Chappell Roan,"Good Luck, Babe!"
42,Alcest,Flamme Jumelle
34,Chappell Roan,Pink Pony Club
