Weeks,Artist,Song
23,Billie Eilish,BIRDS OF A FEATHER
21,Sabrina Carpenter,Espresso
21,HAIM,Relationships
17,Kendrick Lamar & SZA,luther
15,Lady Gaga & Bruno Mars,Die With A Smile
15,Sabrina Carpenter,Taste
