Weeks,Artist,Song
41,Sabrina Carpenter,Espresso
35,Billie Eilish,BIRDS OF A FEATHER
32,Chappell Roan,"Good Luck, Babe!"
29,Chappell Roan,Pink Pony Club
26,HAIM,Relationships
