Weeks,Artist(s),Song
57,Billie Eilish,BIRDS OF A FEATHER
54,Sabrina Carpenter,Espresso
51,Alcest,Flamme Jumelle
50,Chappell Roan,"Good Luck, Babe!"
41,Chappell Roan,Pink Pony Club
38,Kendrick Lamar,Not Like Us
36*,Ravyn Lenae,Love Me Not
35,Muni Long,Made For Me
35,Gracie Abrams,Risk
35,Billie Eilish,WILDFLOWER
35,The Marías,Run Your Mouth
35,Ariana Grande,we can't be friends (wait for your love)
