Weeks,Artist,Song
21,Billie Eilish,BIRDS OF A FEATHER
20,HAIM,Relationships
17,Sabrina Carpenter,Espresso
14,Kendrick Lamar & SZA,luther
12,Lady Gaga & Bruno Mars,Die With A Smile
