Weeks,Artist(s),Song
38,Sabrina Carpenter,Espresso
26,Billie Eilish,BIRDS OF A FEATHER
25,HAIM,Relationships
22,Chappell Roan,Pink Pony Club
21,Kendrick Lamar & SZA,luther
