Singles,Artist
75,Taylor Swift
26,Sabrina Carpenter
22,Lady Gaga
22,Ariana Grande
21,Morgan Wallen
20,Charli xcx
17,Twenty One Pilots
16,Tate McRae
16,SZA
15,Kendrick Lamar
15,The Weeknd
15,FKA twigs
15,Zach Bryan
