award_title,metric,details
最多冠军场数,1,瑞妈 | 包妈 | 雨妈 | 泰妈 | 小妈 | Charli XCX - Boom Clap | Markus Feehily | - | Butterfly | Free-Out - Free-Out 2019 Cypher | 许巍 - 蓝莲花 | Lana Del Rey - West Coast | 1E | 2E | 3E | 3E Mini | 4E
最多单组前三场数,2,田妈 | 小妈 | 雨妈 | 2nd | (1E) | 3rd | (3E Mini) | 1st | (4E) | 3rd | (3E) | 1st | (3E) | 2nd | (4E)
最高单组总分,,
最低单组总分,151.7,-21 | 包妈 | 泰妈 | Free-Out 2019 Cypher | Lil Nas X & Billy Ray Cyrus - Old Town Road | 3E | 2E
