award_title,metric,details
最多冠军单曲选送数,4,雨妈 | K. Michelle - Not A Little Bit | Brantley Gilbert - Tried to Tell Ya | Indochine - Station 13 | Dorian Electra - Man to Man | 5C | 5C | 7A | 8A
最多单组前三场数,,
最多单组前十场数,11,24 | 雨妈 | 雨妈
最高单届总分,,
最高单组总分,281,357 | 266 | 159 | 包妈 | 威妈 | S妈 | 羊妈 | The 6th Barvision · 2020 | Elliot James Reay - Boy In Love | Bennett Coast - Pretender | Best Frenz & Joywave - Flatline | 6A 6B 6C | 15 | 14 | 13
最高单组支持率,100%,草妈 | 羊妈 | Hatchie - Stay With Me | Best Frenz & Joywave - Flatline | 4A | 13
最长连续前十场数,8,雨妈 | 1-5A
最多参与场数,28,雨妈 锴妈 | 1-15
