award_title,metric,details
喜获双学位,在常规版和娱乐版获得第一名,1st | 瑞妈 | 包妈 | 雨妈 | 小妈
全身而退,所有场次均分最高,86.4 | 雨妈 | 432 / 5场
惨遭陷害,所有场次均分最低,20.2 | 嘟妈 | 101 / 5场
过气还是翻红?,最大选送歌曲分差,138 | 泰妈 | -21 / 117 | 2E / 3E Mini
